model,dataset,metric,n_instances_common_all_ranges,correlation_method,"n_instances_pearson_[0,1]__[1,3]","n_instances_spearman_[0,1]__[1,3]","pearson_[0,1]__[1,3]","spearman_[0,1]__[1,3]","n_instances_pearson_[0,1]__[1,5]","n_instances_spearman_[0,1]__[1,5]","pearson_[0,1]__[1,5]","spearman_[0,1]__[1,5]","n_instances_pearson_[0,1]__[0,10]","n_instances_spearman_[0,1]__[0,10]","pearson_[0,1]__[0,10]","spearman_[0,1]__[0,10]","n_instances_pearson_[0,1]__[0,100]","n_instances_spearman_[0,1]__[0,100]","pearson_[0,1]__[0,100]","spearman_[0,1]__[0,100]","n_instances_pearson_[1,3]__[1,5]","n_instances_spearman_[1,3]__[1,5]","pearson_[1,3]__[1,5]","spearman_[1,3]__[1,5]","n_instances_pearson_[1,3]__[0,10]","n_instances_spearman_[1,3]__[0,10]","pearson_[1,3]__[0,10]","spearman_[1,3]__[0,10]","n_instances_pearson_[1,3]__[0,100]","n_instances_spearman_[1,3]__[0,100]","pearson_[1,3]__[0,100]","spearman_[1,3]__[0,100]","n_instances_pearson_[1,5]__[0,10]","n_instances_spearman_[1,5]__[0,10]","pearson_[1,5]__[0,10]","spearman_[1,5]__[0,10]","n_instances_pearson_[1,5]__[0,100]","n_instances_spearman_[1,5]__[0,100]","pearson_[1,5]__[0,100]","spearman_[1,5]__[0,100]","n_instances_pearson_[0,10]__[0,100]","n_instances_spearman_[0,10]__[0,100]","pearson_[0,10]__[0,100]","spearman_[0,10]__[0,100]"
gemini31_pro,tc,gro,60,per_instance_avg,35,35,0.34658540799794885,0.34609997776332374,36,36,0.4023896932180834,0.3967811678374169,37,37,0.24509261641810332,0.20744938537442012,37,37,0.22343704808881837,0.2363554724042547,42,42,0.4998085687705351,0.4931269165066978,44,44,0.4520033598540193,0.4222611231877236,43,43,0.17010413635386418,0.1875581221886135,43,43,0.404992340978254,0.40517011745733383,46,46,0.3515546667479745,0.35333891458073874,43,43,0.40662163057851936,0.4140852600768632
gemini31_pro,tc,nat,60,per_instance_avg,51,51,0.5879574026936037,0.5772320732863637,55,55,0.48798582655445394,0.4731621317952721,55,55,0.3864138819412112,0.35363002620779277,58,58,0.25315504406754347,0.2694384562400185,49,49,0.6355582834094738,0.638099897704197,53,53,0.45762302829473367,0.4514454752840783,52,52,0.5351552330247681,0.5319601178996893,56,56,0.49441697017897557,0.5014170712004943,57,57,0.4497468650696131,0.4373774292391886,60,60,0.42165249660177717,0.43822003952662064
gemini31_pro,wp_a,coh,1,per_instance_avg,1,1,0.5995449502622532,0.5455869813567215,1,1,0.6341848430583361,0.5719071154797915,1,1,0.6273484203112791,0.5242379409148457,1,1,0.5074719057981167,0.45240275061853347,1,1,0.7396183404843527,0.7361850141673328,1,1,0.687933773867019,0.654368219053896,1,1,0.5438300755694254,0.5587606132581076,1,1,0.7453942283039519,0.6877172494218861,1,1,0.5950259089201972,0.5932480758100583,1,1,0.6003131095727089,0.5406868980405198
gemini31_pro,wp_a,enj,1,per_instance_avg,1,1,0.36423694897459497,0.24674217235868984,1,1,0.4663840861372358,0.33933703269375315,1,1,0.3807531849124717,0.30262983307728303,1,1,0.21446053699069623,0.12209600477890178,1,1,0.4928298304494924,0.5034401793699609,1,1,0.3955165222394819,0.34617901816123114,1,1,0.2527854250983956,0.23792334297428278,1,1,0.49950528334591526,0.446003481464744,1,1,0.44232871614541114,0.3883270369136008,1,1,0.3542416824730475,0.2490510636687865
gemini31_pro,wp_a,gra,1,per_instance_avg,1,1,0.24347291509650915,0.37818161099096215,1,1,0.34281507677423445,0.43488750064496273,1,1,0.07148725043018876,0.2924945109945562,1,1,0.03511878849975582,0.27937098914391,1,1,0.44899177372073684,0.4373922884838942,1,1,0.13215191895952952,0.32728400116895107,1,1,0.0767341170447771,0.2589300576047409,1,1,0.21982767908908396,0.4139675452651032,1,1,0.007322614644904945,0.2381659306053586,1,1,0.06698222746709373,0.2417621648462509
gemini31_pro,wp_a,rel,1,per_instance_avg,1,1,0.32644082524101686,0.3181288717867144,1,1,0.3496851821886945,0.3392877104415739,1,1,0.21444833907473546,0.17385251984330707,1,1,0.2914363742342234,0.3209176003505799,1,1,0.4318802144575515,0.4447997603265169,1,1,0.422509594004184,0.38221643902161245,1,1,0.4112385043787702,0.4059836535372286,1,1,0.44279537310330175,0.37385005432457713,1,1,0.41716626582681016,0.42517407685166947,1,1,0.351467060257054,0.32288823493091406
gpt54,newsroom,coh,60,per_instance_avg,59,59,0.8772458240384231,0.8314894148395313,59,59,0.8947214382224901,0.8454490054592818,60,60,0.9276508365405476,0.9171542732224682,60,60,0.9141819285223848,0.9004746834678868,58,58,0.9024515881518663,0.8970124560832441,59,59,0.8580808478176555,0.8103118417819283,59,59,0.8902312444869238,0.8240521618074179,59,59,0.8951440701672841,0.8381438774530635,59,59,0.9060091897938509,0.8421964944866718,60,60,0.9294007499890162,0.9295162965976977
gpt54,newsroom,flu,60,per_instance_avg,60,60,0.47992146774636085,0.39873584810104185,60,60,0.5395051988860313,0.4722001640559832,60,60,0.4246493131999342,0.3778181784615422,60,60,0.5295868491060621,0.42518807150786636,60,60,0.6080698562975979,0.5134991990600681,60,60,0.6002034622217232,0.5553286654714767,60,60,0.7051689845609374,0.6562761829476934,60,60,0.5027993703077018,0.4669359109285975,60,60,0.5768392225704029,0.5263025166998828,60,60,0.5485021269507889,0.5377167122354284
gpt54,newsroom,inf,60,per_instance_avg,59,59,0.8989619310868717,0.8712312651448223,59,59,0.9129628072187198,0.888379760497966,59,59,0.9270404851507651,0.8882936068600689,59,59,0.9311229972026323,0.9051071450092991,59,59,0.9340631292934352,0.9036274046299135,59,59,0.9052247146096161,0.8701245975365409,59,59,0.9194751065080197,0.8962383198446701,59,59,0.9204481712569327,0.8883686165091972,59,59,0.9285011492643415,0.9033265595566726,59,59,0.9287544697182011,0.9147238164256438
gpt54,newsroom,rel,30,per_instance_avg,28,28,0.8372641376249986,0.8033041351567914,58,58,0.8926057836319484,0.8510849537034013,59,59,0.9281812040040387,0.8964727458695948,59,59,0.9312574582488947,0.9028242381496132,28,28,0.8900840595782707,0.8570300623455841,28,28,0.861201264055367,0.8220803051945899,28,28,0.8853259160772391,0.8222549832870608,58,58,0.9061686448548764,0.8578925618363317,58,58,0.9192347063331531,0.8664954764600139,60,60,0.9555697866644246,0.9338141105684216
