judge,dataset,metric,range_min,range_max,spearman_rho,kendall_tau
gemini3_flash,tc,gro,1,3,0.584955,0.556517
gemini3_flash,tc,gro,1,5,0.534802,0.518382
gemini3_flash,tc,gro,1,10,0.036716,0.038028
gemini3_flash,tc,gro,0,10,0.415468,0.380187
gemini3_flash,tc,gro,0,100,0.459035,0.430968
gemini3_flash,tc,gro,0,0.5,0.581098,0.539659
gemini3_flash,tc,gro,0,2,0.550455,0.524913
gemini3_flash,tc,gro,0,5,0.542833,0.511494
gemini3_flash,tc,gro,5,10,0.038573,0.035894
gemini3_flash,tc,gro,20,25,0.586785,0.542398
gemini3_flash,tc,gro,-0.1,0.1,0.496430,0.475808
gemini3_flash,tc,gro,-0.5,0.5,0.546928,0.519475
gemini3_flash,tc,gro,-1,1,0.483003,0.463590
gemini3_flash,tc,gro,-2,2,0.511815,0.487394
gemini3_flash,tc,gro,-3,3,0.335819,0.316135
gemini3_flash,tc,gro,-4,4,0.448607,0.422185
gemini3_flash,tc,gro,-5,5,0.363435,0.346918
gemini3_flash,tc,gro,-1,3,0.497676,0.468486
gemini3_flash,tc,gro,0,1000,0.489288,0.464562
gemini3_flash,tc,nat,0,1,0.611293,0.574256
gemini3_flash,tc,nat,1,3,0.614250,0.556591
gemini3_flash,tc,nat,1,5,0.613997,0.547372
gemini3_flash,tc,nat,1,10,0.327417,0.291637
gemini3_flash,tc,nat,0,10,0.398479,0.347174
gemini3_flash,tc,nat,0,100,0.514954,0.450538
gemini3_flash,tc,nat,0,0.5,0.643709,0.572143
gemini3_flash,tc,nat,0,2,0.531975,0.479168
gemini3_flash,tc,nat,0,5,0.611006,0.537324
gemini3_flash,tc,nat,5,10,0.410112,0.369970
gemini3_flash,tc,nat,20,25,0.614130,0.520128
gemini3_flash,tc,nat,-0.1,0.1,0.000000,0.000000
gemini3_flash,tc,nat,-0.5,0.5,0.678933,0.613528
gemini3_flash,tc,nat,-1,1,0.485553,0.448120
gemini3_flash,tc,nat,-2,2,0.426124,0.384856
gemini3_flash,tc,nat,-3,3,0.518855,0.466296
gemini3_flash,tc,nat,-4,4,0.557690,0.504465
gemini3_flash,tc,nat,-5,5,0.533014,0.477710
gemini3_flash,tc,nat,-1,3,0.588533,0.544793
gemini3_flash,tc,nat,0,1000,0.498725,0.439496
gemini3_flash,wp_a,coh,0,1,0.420860,0.364684
gemini3_flash,wp_a,coh,1,3,0.556945,0.463003
gemini3_flash,wp_a,coh,1,5,0.564757,0.450277
gemini3_flash,wp_a,coh,1,10,0.397386,0.313122
gemini3_flash,wp_a,coh,0,10,0.448533,0.348556
gemini3_flash,wp_a,coh,0,100,0.522959,0.408203
gemini3_flash,wp_a,coh,0,0.5,0.605646,0.487098
gemini3_flash,wp_a,coh,0,2,0.521196,0.436177
gemini3_flash,wp_a,coh,0,5,0.570999,0.455295
gemini3_flash,wp_a,coh,5,10,0.450059,0.360956
gemini3_flash,wp_a,coh,20,25,0.565717,0.453093
gemini3_flash,wp_a,coh,-0.1,0.1,0.600142,0.475954
gemini3_flash,wp_a,coh,-0.5,0.5,0.613992,0.483530
gemini3_flash,wp_a,coh,-1,1,0.371023,0.304042
gemini3_flash,wp_a,coh,-2,2,0.439279,0.360296
gemini3_flash,wp_a,coh,-3,3,0.457573,0.370383
gemini3_flash,wp_a,coh,-4,4,0.491095,0.392869
gemini3_flash,wp_a,coh,-5,5,0.482523,0.384215
gemini3_flash,wp_a,coh,-1,3,0.536412,0.433826
gemini3_flash,wp_a,coh,0,1000,0.515858,0.403317
gemini3_flash,wp_a,enj,0,1,0.029485,0.025268
gemini3_flash,wp_a,enj,1,3,0.335662,0.280351
gemini3_flash,wp_a,enj,1,5,0.421252,0.334810
gemini3_flash,wp_a,enj,1,10,0.463095,0.359155
gemini3_flash,wp_a,enj,0,10,0.449999,0.342091
gemini3_flash,wp_a,enj,0,100,0.421898,0.328517
gemini3_flash,wp_a,enj,0,0.5,0.542495,0.430838
gemini3_flash,wp_a,enj,0,2,0.295043,0.248007
gemini3_flash,wp_a,enj,0,5,0.440920,0.350269
gemini3_flash,wp_a,enj,5,10,0.394085,0.311977
gemini3_flash,wp_a,enj,20,25,0.486817,0.384556
gemini3_flash,wp_a,enj,-0.1,0.1,0.496701,0.384949
gemini3_flash,wp_a,enj,-0.5,0.5,0.491662,0.381640
gemini3_flash,wp_a,enj,-1,1,0.226734,0.168603
gemini3_flash,wp_a,enj,-2,2,0.354611,0.287331
gemini3_flash,wp_a,enj,-3,3,0.363919,0.287801
gemini3_flash,wp_a,enj,-4,4,0.397802,0.308336
gemini3_flash,wp_a,enj,-5,5,0.367307,0.285593
gemini3_flash,wp_a,enj,-1,3,0.361473,0.289235
gemini3_flash,wp_a,enj,0,1000,0.372773,0.296560
gemini3_flash,wp_a,gra,0,1,0.335544,0.292687
gemini3_flash,wp_a,gra,1,3,0.293662,0.252203
gemini3_flash,wp_a,gra,1,5,0.407478,0.341495
gemini3_flash,wp_a,gra,1,10,-0.147453,-0.118749
gemini3_flash,wp_a,gra,0,10,0.051520,0.039460
gemini3_flash,wp_a,gra,0,100,0.109622,0.083845
gemini3_flash,wp_a,gra,0,0.5,0.500520,0.421721
gemini3_flash,wp_a,gra,0,2,0.336770,0.292823
gemini3_flash,wp_a,gra,0,5,0.386045,0.323012
gemini3_flash,wp_a,gra,5,10,0.074721,0.058761
gemini3_flash,wp_a,gra,20,25,0.000000,0.000000
gemini3_flash,wp_a,gra,-0.1,0.1,0.000000,0.000000
gemini3_flash,wp_a,gra,-0.5,0.5,0.536458,0.431292
gemini3_flash,wp_a,gra,-1,1,0.371130,0.307900
gemini3_flash,wp_a,gra,-2,2,0.360622,0.298022
gemini3_flash,wp_a,gra,-3,3,0.367988,0.303843
gemini3_flash,wp_a,gra,-4,4,0.332977,0.276297
gemini3_flash,wp_a,gra,-5,5,0.393854,0.329222
gemini3_flash,wp_a,gra,-1,3,0.348171,0.297673
gemini3_flash,wp_a,gra,0,1000,0.010287,0.009514
gemini3_flash,wp_a,rel,0,1,0.452173,0.383788
gemini3_flash,wp_a,rel,1,3,0.515519,0.422999
gemini3_flash,wp_a,rel,1,5,0.546977,0.439011
gemini3_flash,wp_a,rel,1,10,0.191167,0.153606
gemini3_flash,wp_a,rel,0,10,0.321096,0.247196
gemini3_flash,wp_a,rel,0,100,0.397194,0.301914
gemini3_flash,wp_a,rel,0,0.5,0.598173,0.475056
gemini3_flash,wp_a,rel,0,2,0.529972,0.436586
gemini3_flash,wp_a,rel,0,5,0.573321,0.452182
gemini3_flash,wp_a,rel,5,10,0.295789,0.234933
gemini3_flash,wp_a,rel,20,25,0.626021,0.500941
gemini3_flash,wp_a,rel,-0.1,0.1,0.523092,0.424423
gemini3_flash,wp_a,rel,-0.5,0.5,0.559870,0.449307
gemini3_flash,wp_a,rel,-1,1,0.383781,0.309066
gemini3_flash,wp_a,rel,-2,2,0.371140,0.294797
gemini3_flash,wp_a,rel,-3,3,0.371554,0.290674
gemini3_flash,wp_a,rel,-4,4,0.366905,0.291229
gemini3_flash,wp_a,rel,-5,5,0.350755,0.276177
gemini3_flash,wp_a,rel,-1,3,0.391019,0.309906
gemini3_flash,wp_a,rel,0,1000,0.354393,0.273913
gemini2_flash,summeval,coh,0,1,0.460423,0.393886
gemini2_flash,summeval,coh,1,3,0.498101,0.424293
gemini2_flash,summeval,coh,1,5,0.495803,0.422067
gemini2_flash,summeval,coh,1,10,0.484539,0.401442
gemini2_flash,summeval,coh,0,10,0.508355,0.420544
gemini2_flash,summeval,coh,0,100,0.500682,0.414713
gemini2_flash,summeval,coh,0,0.5,0.489012,0.416298
gemini2_flash,summeval,coh,0,2,0.376153,0.312984
gemini2_flash,summeval,coh,0,5,0.475082,0.399512
gemini2_flash,summeval,coh,5,10,0.483142,0.405228
gemini2_flash,summeval,coh,20,25,0.491080,0.420532
gemini2_flash,summeval,coh,-0.1,0.1,0.418370,0.343205
gemini2_flash,summeval,coh,-0.5,0.5,0.509797,0.424302
gemini2_flash,summeval,coh,-1,1,0.469015,0.381279
gemini2_flash,summeval,coh,-2,2,0.458811,0.376237
gemini2_flash,summeval,coh,-3,3,0.485695,0.406484
gemini2_flash,summeval,coh,-4,4,0.500940,0.417510
gemini2_flash,summeval,coh,-5,5,0.505474,0.422458
gemini2_flash,summeval,coh,-1,3,0.503056,0.424407
gemini2_flash,summeval,coh,0,1000,0.488772,0.405992
gemini2_flash,summeval,con,0,1,0.614471,0.589171
gemini2_flash,summeval,con,1,3,0.634939,0.613957
gemini2_flash,summeval,con,1,5,0.629763,0.608217
gemini2_flash,summeval,con,1,10,0.568849,0.541990
gemini2_flash,summeval,con,0,10,0.582182,0.557610
gemini2_flash,summeval,con,0,100,0.631644,0.605145
gemini2_flash,summeval,con,0,0.5,0.621910,0.599776
gemini2_flash,summeval,con,0,2,0.572411,0.551490
gemini2_flash,summeval,con,0,5,0.659423,0.635670
gemini2_flash,summeval,con,5,10,0.517393,0.491744
gemini2_flash,summeval,con,20,25,0.642846,0.622580
gemini2_flash,summeval,con,-0.1,0.1,0.636052,0.618517
gemini2_flash,summeval,con,-0.5,0.5,0.643088,0.621539
gemini2_flash,summeval,con,-1,1,0.609573,0.584976
gemini2_flash,summeval,con,-2,2,0.636453,0.614096
gemini2_flash,summeval,con,-3,3,0.627203,0.605643
gemini2_flash,summeval,con,-4,4,0.630082,0.604560
gemini2_flash,summeval,con,-5,5,0.626128,0.603716
gemini2_flash,summeval,con,-1,3,0.636019,0.615836
