judge,dataset,metric,best_range,best_agreement_pct,spread_pp,regret_pp,vs_canonical_pp
gemma3_27b,tc,eng,"[0,10]",92.6,2.3,1.19,+0.3
gemma3_27b,tc,gro,"[1,3]",90.4,5.5,0.99,+4.5
gemma3_27b,tc,nat,"[1,5]",90.5,2.4,1.00,+0.5
gemma3_27b,newsroom,coh,"[1,3]",86.7,4.2,0.75,+0.1
gemma3_27b,newsroom,flu,"[1,3]",82.8,2.8,1.44,+2.1
gemma3_27b,newsroom,inf,"[1,3]",91.6,5.9,0.58,+2.0
gemma3_27b,newsroom,rel,"[1,3]",88.4,7.5,0.63,+0.8
gemma3_27b,wp_a,coh,"[1,5]",98.1,3.0,1.07,+0.0
gemma3_27b,wp_a,enj,"[1,5]",94.9,2.8,1.80,+0.0
gemma3_27b,wp_a,gra,"[0,10]",96.8,5.1,1.26,+5.1
gemma3_27b,wp_a,rel,"[0,100]",94.5,2.8,1.88,+2.8
llama31_70b,summeval,coh,"[1,3]",92.0,3.9,3.46,+2.4
llama31_70b,summeval,con,"[1,5]",89.5,6.6,0.49,+0.0
llama31_70b,summeval,flu,"[1,3]",82.9,7.5,4.25,+5.5
llama31_70b,summeval,rel,"[1,3]",92.5,3.9,0.46,+0.4
llama31_70b,tc,coh,"[0,100]",100.0,9.7,5.87,+7.1
llama31_70b,tc,eng,"[0,100]",100.0,8.3,5.29,+4.9
llama31_70b,tc,gro,"[0,1]",92.2,11.0,2.24,+0.0
llama31_70b,tc,nat,"[0,100]",95.0,10.2,3.79,+4.3
llama31_70b,newsroom,coh,"[0,10]",96.1,8.6,2.53,+6.3
llama31_70b,newsroom,flu,"[1,5]",100.0,28.6,20.51,+0.0
llama31_70b,newsroom,inf,"[0,10]",93.8,3.5,0.83,+0.7
llama31_70b,newsroom,rel,"[1,3]",93.2,2.9,1.21,+1.3
llama31_70b,wp_a,coh,"[1,5]",100.0,6.7,5.73,+0.0
llama31_70b,wp_a,enj,"[0,100]",100.0,4.9,3.64,+4.9
llama31_70b,wp_a,gra,"[0,100]",100.0,9.6,10.50,+9.0
llama31_70b,wp_a,rel,"[1,3]",97.0,2.3,2.41,+1.7
