model,dataset,metric,rmin,rmax,is_canon,n,raw_mean,raw_std,norm_mean,norm_std,norm_skew,norm_ent,pct_int,pct_min,pct_max,n_uniq
gemma2_9b,newsroom,coh,1,5,True,419,1.736276849642005,1.072668245267098,0.1840692124105012,0.2681670613167745,1.247218624579149,1.166240604314372,98.81,60.86,0.95,7
gemma2_9b,newsroom,coh,0,10,False,419,2.692601431980907,2.5777860773760763,0.2692601431980907,0.2577786077376076,1.0051059199942554,1.9998232077966285,99.76,18.85,0.24,11
gemma2_9b,newsroom,coh,0,100,False,419,30.68019093078759,27.4983681696239,0.3068019093078759,0.274983681696239,0.7779742898188103,2.092101913451368,100.0,17.42,0.24,12
gemma2_9b,newsroom,flu,0,1,False,407,0.2911547911547911,0.192922418546373,0.2911547911547911,0.192922418546373,0.9178175262725038,1.797032713869394,10.81,10.57,0.25,11
gemma2_9b,newsroom,flu,1,3,False,398,1.3042713567839197,0.5419180960697916,0.1521356783919598,0.2709590480348958,1.5572129567210389,0.9470479771306768,86.18,72.36,1.76,6
gemma2_9b,newsroom,flu,1,5,True,396,1.746212121212121,1.0283166569319897,0.1865530303030303,0.2570791642329974,1.1307773861481178,1.243517069418235,96.72,58.59,0.51,8
gemma2_9b,newsroom,flu,0,10,False,379,2.9063324538258577,2.277528634513995,0.2906332453825858,0.2277528634513994,0.9393999913728974,2.07643971095491,89.18,12.14,0.0,14
gemma2_9b,newsroom,flu,0,100,False,383,35.77023498694517,25.61503417258694,0.3577023498694517,0.2561503417258694,0.4621367696768999,2.197532504856495,100.0,11.23,0.0,13
gemma2_9b,newsroom,inf,0,1,False,420,0.3297619047619047,0.353074847691764,0.3297619047619047,0.353074847691764,0.7273018319451258,1.815299536039325,47.38,37.14,10.24,11
gemma2_9b,newsroom,inf,1,3,False,420,1.555952380952381,0.7729583230427096,0.2779761904761905,0.3864791615213548,0.9186326186531588,1.0389039548586303,95.48,62.38,15.95,5
gemma2_9b,newsroom,inf,1,5,True,420,2.3095238095238093,1.43739339543586,0.3273809523809524,0.359348348858965,0.5978973250262003,1.4324932519141844,100.0,45.95,10.24,5
gemma2_9b,newsroom,inf,0,10,False,419,3.7673031026252985,3.4010254148314263,0.3767303102625298,0.3401025414831426,0.5133683287258786,2.111020921292162,99.76,22.91,8.11,11
